ID,LICENSE ID,LEGAL_NAME,DOING_BUSINESS_AS_NAME,ADDRESS,CITY,STATE,ZIP CODE
2563516-20201016,2747127,"HAROLD'S ON WABASH, INC.",HAROLD'S CHICKEN,2300 S THROOP ST 1,CHICAGO,IL,60608
2211491-20121229,2211491,PALETERIA AZTECA INC.,PALETERIA AZTECA #2,3119 W CERMAK RD 1ST CART 8,CHICAGO,IL,60623
2211495-20140816,2338212,PALETERIA AZTECA INC.,PALETERIA AZTECA #2,3119 W CERMAK RD 1ST CART 12,CHICAGO,IL,60623
2252818-20140316,2314973,RAUL MARTINEZ,PALETERIA AYUTLA,2404 W 46TH PL,CHICAGO,IL,60632
2211415-20121229,2211415,JOSE LOPEZ,PALETERIA JALISCO,4219 N KEDZIE AVE,CHICAGO,IL,60618
2211462-20130916,2274180,"ISLA TROPICAL, INC.",ISLA TROPICAL,2335 N CICERO AVE,CHICAGO,IL,60639
2369178-20150730,2369178,EXPRESS FOOD TRUCKS LLC,MEDITERRANEAN EXPRESS,2300 S THROOP ST,CHICAGO,IL,60608
2211344-20130516,2241677,FELIPE BENITEZ,PHILLIP'S ICE CREAM,2113 N MAJOR AVE,CHICAGO,IL,60639
2211656-20121229,2211656,"THE FALAFEL BROTHERS, INC.",FALAFEL BROTHERS,1800 S JEFFERSON ST 1ST,CHICAGO,IL,60616
2827297-20220309,2827297,ALEX'S CATERING CORP,ALEX CATERING,1204 W 36TH PL,CHICAGO,IL,60609
2918327-20240123,2918327,MARIA G. NAVARRO,PALETERIA COCKTAILS TROPICALES,4282 S ARCHER AVE,CHICAGO,IL,60632
2289684-20140501,2289684,"PLEASANT HOUSE BAKERY, LLC",PLEASANT HOUSE BAKERY,964 W 31ST ST 1,CHICAGO,IL,60608
2211563-20130316,2228975,REYNA DE SABORES INC.,PALETERIA REINA DE SABORES,3015 W LAWRENCE AVE 1ST,CHICAGO,IL,60625
2211528-20150916,2416317,JUAN MONTOYA,FRUTYLAND,4610 N KEDZIE AVE 1,CHICAGO,IL,60625
2379916-20150211,2379916,NEIGHBOR CAPITAL LLC,NEIGHBOR CAPITAL LLC,3511 W FILLMORE ST 1ST,CHICAGO,IL,60624
2256468-20130520,2256468,PANCHO' S ICE CREAM LLC,PANCHO' S ICE CREAM,4055 W 31ST ST 1ST,CHICAGO,IL,60623
2211565-20150316,2378023,REYNA DE SABORES INC.,PALETERIA REINA DE SABORES,3015 W LAWRENCE AVE 1ST,CHICAGO,IL,60625
2211645-20121229,2211645,"GIAVIA SWEETS, LLC",GIAVIA SWEETS,1448  GLENCOE AVE,HIGHLAND PARK,IL,60035
2232391-20130916,2277101,CHICAGO CUPCAKE LLC,CHICAGO CUPCAKE LLC,2409 N WESTERN AVE,CHICAGO,IL,60647
2211295-20190316,2642755,"PALETERIAS MONARCA, CORP.",PALETERIA MONARCA,6955 N CLARK ST,CHICAGO,IL,60626
2225623-20130116,2225623,NEIGHBOR CAPITAL LLC,NEIGHBOR CAPITAL LLC,3758 W OGDEN AVE,CHICAGO,IL,60623
2665439-20200228,2665439,MA. CONCEPCION GONZALEZ,CASERAS SABOR REAL,135 N KEDZIE AVE 1,CHICAGO,IL,60612
2549977-20171004,2549977,SUSHI BOWL INC,SUSHI TRUCK,2300 S THROOP ST,CHICAGO,IL,60608
2211650-20121229,2211650,I HEART HUMMUS LLC,I HEART HUMMUS,324 N LEAVITT ST 1ST,CHICAGO,IL,60612
2211484-20140816,2338201,PALETERIA AZTECA INC.,PALETERIA AZTECA #2,3119 W CERMAK RD 1ST CART 1,CHICAGO,IL,60623
2211425-20121229,2211425,JOSE LOPEZ,PALETERIA JALISCO,4219 N KEDZIE AVE,CHICAGO,IL,60618
2225628-20130116,2225628,NEIGHBOR CAPITAL LLC,NEIGHBOR CAPITAL LLC,2650 S CALIFORNIA AVE,CHICAGO,IL,60608
2900813-20230728,2900813,"CUT ABOVE CATERING, INC.",MONSTER DOGS,135 N KEDZIE AVE,CHICAGO,IL,60612
2211374-20140416,2309977,LEONARDO LOPEZ,BAMBI,2051 W 47TH ST,CHICAGO,IL,60609
2781265-20230216,2886022,TASTY CHICAGO LLC,TASTY CHICAGO LLC,135 N KEDZIE AVE,CHICAGO,IL,60612
2211279-20121229,2211279,THUNDERBIRD CATERING CO.,THUNDERBIRD CATERING,1204 W 36TH PL,CHICAGO,IL,60609
1476483-20120116,2126009,THUNDERBIRD CATERING CO.,THUNDERBIRD CATERING,1204 W 36TH PL,CHICAGO,IL,60609
2423842-20180616,2593537,KOKO'S GRILL LLC,BOB CHA II,2300 S THROOP ST,CHICAGO,IL,60608
2785928-20220223,2785928,"FIESTA TAMALERIA EL BARRIO, INC.","FIESTA TAMALERIA EL BARRIO, INC.",1820 W 18TH ST 1,CHICAGO,IL,60608
2501387-20170620,2501387,SUPREME FOODS & COMMISSARY LLC,SUPREME CATERING COMPANY,1900 S MAYWOOD DR,MAYWOOD,IL,60153
2211351-20121229,2211351,FELIPE BENITEZ,PHILLIP'S ICE CREAM,2113 N MAJOR AVE,CHICAGO,IL,60639
2496079-20180216,2572580,"THEORY, LLC",Theory Sport.Dine.Lounge,9 W HUBBARD ST 1,CHICAGO,IL,60610
2211419-20121229,2211419,JOSE LOPEZ,PALETERIA JALISCO,4219 N KEDZIE AVE,CHICAGO,IL,60618
